[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		I-ash85.mtx.rnd
[runlim] start:			Sat May 10 17:25:06 2025
[runlim] main pid:		579523
[runlim] sample:		70.1 time, 10.5 real, 357.1 MB
[runlim] sample:		149.3 time, 20.5 real, 472.7 MB
[runlim] sample:		228.4 time, 30.5 real, 569.9 MB
[runlim] sample:		307.6 time, 40.5 real, 634.9 MB
[runlim] sample:		386.8 time, 50.5 real, 663.9 MB
[runlim] sample:		466.0 time, 60.5 real, 738.2 MB
[runlim] sample:		545.2 time, 70.5 real, 773.8 MB
[runlim] sample:		624.5 time, 80.5 real, 895.5 MB
[runlim] sample:		703.7 time, 90.5 real, 1013.8 MB
[runlim] sample:		783.0 time, 100.5 real, 1129.2 MB
[runlim] sample:		862.2 time, 110.5 real, 1195.9 MB
[runlim] sample:		941.4 time, 120.5 real, 1279.5 MB
[runlim] sample:		1020.5 time, 130.5 real, 1323.8 MB
[runlim] sample:		1099.5 time, 140.5 real, 1356.8 MB
[runlim] sample:		1178.7 time, 150.5 real, 1378.2 MB
[runlim] sample:		1257.7 time, 160.5 real, 1409.1 MB
[runlim] sample:		1332.8 time, 170.5 real, 1431.1 MB
[runlim] sample:		1412.0 time, 180.5 real, 1442.7 MB
[runlim] sample:		1491.2 time, 190.5 real, 1450.1 MB
[runlim] sample:		1570.4 time, 200.5 real, 1453.7 MB
[runlim] sample:		1649.7 time, 210.5 real, 1459.9 MB
[runlim] sample:		1729.0 time, 220.5 real, 1466.9 MB
[runlim] sample:		1808.0 time, 230.5 real, 1469.7 MB
[runlim] sample:		1887.2 time, 240.5 real, 1483.4 MB
[runlim] sample:		1966.4 time, 250.5 real, 1501.2 MB
[runlim] sample:		2045.7 time, 260.5 real, 1513.6 MB
[runlim] sample:		2125.0 time, 270.5 real, 1527.0 MB
[runlim] sample:		2204.3 time, 280.5 real, 1537.3 MB
[runlim] sample:		2283.3 time, 290.5 real, 1537.8 MB
[runlim] sample:		2362.6 time, 300.5 real, 1539.1 MB
