[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		J-nos4.mtx.rnd
[runlim] start:			Sat May 10 17:55:07 2025
[runlim] main pid:		581720
[runlim] sample:		65.0 time, 10.2 real, 412.2 MB
[runlim] sample:		144.3 time, 20.2 real, 439.3 MB
[runlim] sample:		223.6 time, 30.2 real, 465.1 MB
[runlim] sample:		302.8 time, 40.2 real, 638.9 MB
[runlim] sample:		382.1 time, 50.2 real, 756.7 MB
[runlim] sample:		461.4 time, 60.2 real, 791.3 MB
[runlim] sample:		540.6 time, 70.2 real, 846.6 MB
[runlim] sample:		619.8 time, 80.2 real, 1023.1 MB
[runlim] sample:		699.1 time, 90.2 real, 1108.5 MB
[runlim] sample:		778.4 time, 100.2 real, 1135.0 MB
[runlim] sample:		857.5 time, 110.2 real, 1172.9 MB
[runlim] sample:		936.9 time, 120.2 real, 1194.5 MB
[runlim] sample:		1016.1 time, 130.2 real, 1217.5 MB
[runlim] sample:		1095.2 time, 140.2 real, 1221.6 MB
[runlim] sample:		1174.3 time, 150.2 real, 1229.8 MB
[runlim] sample:		1253.5 time, 160.2 real, 1240.4 MB
[runlim] sample:		1328.6 time, 170.2 real, 1256.7 MB
[runlim] sample:		1407.8 time, 180.2 real, 1267.5 MB
[runlim] sample:		1487.0 time, 190.2 real, 1270.4 MB
[runlim] sample:		1566.3 time, 200.2 real, 1273.1 MB
[runlim] sample:		1645.7 time, 210.2 real, 1278.4 MB
[runlim] sample:		1724.9 time, 220.2 real, 1282.0 MB
[runlim] sample:		1803.9 time, 230.2 real, 1294.9 MB
[runlim] sample:		1883.2 time, 240.2 real, 1300.1 MB
[runlim] sample:		1962.4 time, 250.2 real, 1303.9 MB
[runlim] sample:		2041.7 time, 260.2 real, 1305.9 MB
[runlim] sample:		2121.0 time, 270.2 real, 1309.6 MB
[runlim] sample:		2200.3 time, 280.2 real, 1313.2 MB
[runlim] sample:		2279.6 time, 290.2 real, 1314.5 MB
[runlim] sample:		2358.9 time, 300.2 real, 1317.9 MB
