[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		K-dwt__234.mtx.rnd
[runlim] start:			Sat May 10 07:16:57 2025
[runlim] main pid:		535251
[runlim] sample:		58.6 time, 10.5 real, 552.0 MB
[runlim] sample:		137.7 time, 20.5 real, 573.0 MB
[runlim] sample:		216.9 time, 30.5 real, 576.5 MB
[runlim] sample:		296.1 time, 40.5 real, 580.9 MB
[runlim] sample:		375.4 time, 50.5 real, 586.3 MB
[runlim] sample:		450.2 time, 60.5 real, 594.3 MB
[runlim] sample:		529.3 time, 70.5 real, 598.7 MB
[runlim] sample:		608.4 time, 80.5 real, 604.8 MB
[runlim] sample:		687.6 time, 90.5 real, 608.4 MB
[runlim] sample:		767.0 time, 100.5 real, 613.3 MB
[runlim] sample:		846.3 time, 110.5 real, 621.8 MB
[runlim] sample:		925.5 time, 120.5 real, 631.1 MB
[runlim] sample:		1004.8 time, 130.5 real, 644.5 MB
[runlim] sample:		1084.0 time, 140.5 real, 657.7 MB
[runlim] sample:		1163.2 time, 150.5 real, 670.3 MB
[runlim] sample:		1242.5 time, 160.5 real, 719.8 MB
[runlim] sample:		1321.8 time, 170.5 real, 724.3 MB
[runlim] sample:		1401.0 time, 180.5 real, 776.5 MB
[runlim] sample:		1480.3 time, 190.5 real, 808.0 MB
[runlim] sample:		1559.4 time, 200.5 real, 857.7 MB
[runlim] sample:		1638.7 time, 210.5 real, 858.5 MB
[runlim] sample:		1718.0 time, 220.5 real, 863.0 MB
[runlim] sample:		1797.2 time, 230.5 real, 866.1 MB
[runlim] sample:		1876.5 time, 240.5 real, 866.1 MB
[runlim] sample:		1955.8 time, 250.5 real, 866.1 MB
[runlim] sample:		2035.0 time, 260.5 real, 866.1 MB
[runlim] sample:		2114.2 time, 270.5 real, 870.8 MB
[runlim] sample:		2193.5 time, 280.5 real, 872.3 MB
[runlim] sample:		2272.8 time, 290.5 real, 873.8 MB
[runlim] sample:		2352.1 time, 300.5 real, 875.4 MB
