[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		M-bcsstk06.mtx.rnd
[runlim] start:			Sat May 10 15:15:01 2025
[runlim] main pid:		569909
[runlim] sample:		10.8 time, 10.8 real, 462.8 MB
[runlim] sample:		20.8 time, 20.8 real, 545.2 MB
[runlim] sample:		69.4 time, 30.8 real, 3277.8 MB
[runlim] sample:		148.2 time, 40.8 real, 4117.2 MB
[runlim] sample:		227.5 time, 50.8 real, 4102.2 MB
[runlim] sample:		306.5 time, 60.8 real, 4166.7 MB
[runlim] sample:		385.7 time, 70.8 real, 4192.3 MB
[runlim] sample:		464.9 time, 80.8 real, 4202.6 MB
[runlim] sample:		544.2 time, 90.8 real, 4236.4 MB
[runlim] sample:		623.5 time, 100.8 real, 4329.0 MB
[runlim] sample:		702.8 time, 110.8 real, 4369.4 MB
[runlim] sample:		782.0 time, 120.8 real, 4443.5 MB
[runlim] sample:		861.1 time, 130.8 real, 4369.3 MB
[runlim] sample:		940.3 time, 140.8 real, 4356.4 MB
[runlim] sample:		1019.6 time, 150.8 real, 4391.5 MB
[runlim] sample:		1098.8 time, 160.8 real, 4639.5 MB
[runlim] sample:		1177.3 time, 170.8 real, 4574.2 MB
[runlim] sample:		1253.2 time, 180.8 real, 4358.1 MB
[runlim] sample:		1332.3 time, 190.8 real, 4435.8 MB
[runlim] sample:		1411.6 time, 200.8 real, 4392.1 MB
[runlim] sample:		1490.9 time, 210.8 real, 4408.8 MB
[runlim] sample:		1570.1 time, 220.8 real, 4392.9 MB
[runlim] sample:		1649.4 time, 230.8 real, 4401.6 MB
[runlim] sample:		1728.7 time, 240.8 real, 4497.4 MB
[runlim] sample:		1807.9 time, 250.8 real, 4465.3 MB
[runlim] sample:		1887.2 time, 260.8 real, 4388.6 MB
[runlim] sample:		1966.5 time, 270.8 real, 4438.2 MB
[runlim] sample:		2045.7 time, 280.8 real, 4432.2 MB
[runlim] sample:		2125.0 time, 290.8 real, 4595.6 MB
[runlim] sample:		2204.3 time, 300.8 real, 4595.9 MB
