[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		N-bcsstk07.mtx.rnd
[runlim] start:			Sat May 10 16:45:06 2025
[runlim] main pid:		576410
[runlim] sample:		10.8 time, 10.3 real, 482.7 MB
[runlim] sample:		20.8 time, 20.3 real, 474.1 MB
[runlim] sample:		84.6 time, 30.3 real, 3433.9 MB
[runlim] sample:		163.8 time, 40.3 real, 4166.4 MB
[runlim] sample:		243.0 time, 50.3 real, 4087.2 MB
[runlim] sample:		322.2 time, 60.3 real, 4196.2 MB
[runlim] sample:		401.2 time, 70.3 real, 4227.9 MB
[runlim] sample:		480.4 time, 80.3 real, 4265.6 MB
[runlim] sample:		559.7 time, 90.3 real, 4325.5 MB
[runlim] sample:		638.9 time, 100.3 real, 4318.7 MB
[runlim] sample:		718.2 time, 110.3 real, 4321.0 MB
[runlim] sample:		797.5 time, 120.3 real, 4380.7 MB
[runlim] sample:		876.7 time, 130.3 real, 4412.9 MB
[runlim] sample:		955.9 time, 140.3 real, 4402.5 MB
[runlim] sample:		1035.2 time, 150.3 real, 4449.2 MB
[runlim] sample:		1114.5 time, 160.3 real, 4443.3 MB
[runlim] sample:		1189.8 time, 170.3 real, 4471.8 MB
[runlim] sample:		1269.1 time, 180.3 real, 4471.8 MB
[runlim] sample:		1348.3 time, 190.3 real, 4472.0 MB
[runlim] sample:		1427.5 time, 200.3 real, 4527.1 MB
[runlim] sample:		1506.8 time, 210.3 real, 4487.9 MB
[runlim] sample:		1586.1 time, 220.3 real, 4453.5 MB
[runlim] sample:		1665.4 time, 230.3 real, 4453.5 MB
[runlim] sample:		1744.5 time, 240.3 real, 4435.0 MB
[runlim] sample:		1823.7 time, 250.3 real, 4547.0 MB
[runlim] sample:		1902.9 time, 260.3 real, 4486.7 MB
[runlim] sample:		1982.1 time, 270.3 real, 4489.5 MB
[runlim] sample:		2061.3 time, 280.3 real, 4491.5 MB
[runlim] sample:		2140.6 time, 290.3 real, 4492.2 MB
[runlim] sample:		2219.4 time, 300.3 real, 4494.8 MB
