[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		O-impcol_d.mtx.rnd
[runlim] start:			Sat May 10 08:47:10 2025
[runlim] main pid:		542141
[runlim] sample:		10.8 time, 10.5 real, 530.5 MB
[runlim] sample:		70.1 time, 20.5 real, 3316.9 MB
[runlim] sample:		149.3 time, 30.5 real, 3686.2 MB
[runlim] sample:		227.9 time, 40.5 real, 3722.2 MB
[runlim] sample:		303.4 time, 50.5 real, 3805.9 MB
[runlim] sample:		382.6 time, 60.5 real, 3898.2 MB
[runlim] sample:		461.7 time, 70.5 real, 3936.3 MB
[runlim] sample:		541.0 time, 80.5 real, 3922.8 MB
[runlim] sample:		620.2 time, 90.5 real, 3926.6 MB
[runlim] sample:		699.5 time, 100.5 real, 4035.4 MB
[runlim] sample:		778.8 time, 110.5 real, 3969.2 MB
[runlim] sample:		858.1 time, 120.5 real, 4041.8 MB
[runlim] sample:		937.2 time, 130.5 real, 4147.6 MB
[runlim] sample:		1016.6 time, 140.5 real, 4200.5 MB
[runlim] sample:		1095.9 time, 150.5 real, 4119.4 MB
[runlim] sample:		1175.2 time, 160.5 real, 4121.5 MB
[runlim] sample:		1254.5 time, 170.5 real, 4121.5 MB
[runlim] sample:		1333.8 time, 180.5 real, 4128.8 MB
[runlim] sample:		1413.0 time, 190.5 real, 4146.6 MB
[runlim] sample:		1492.2 time, 200.5 real, 4209.5 MB
[runlim] sample:		1571.5 time, 210.5 real, 4340.2 MB
[runlim] sample:		1650.8 time, 220.5 real, 4441.7 MB
[runlim] sample:		1730.1 time, 230.5 real, 4584.8 MB
[runlim] sample:		1809.4 time, 240.5 real, 4584.8 MB
[runlim] sample:		1888.5 time, 250.5 real, 4650.1 MB
[runlim] sample:		1967.8 time, 260.5 real, 4713.2 MB
[runlim] sample:		2047.1 time, 270.5 real, 4841.3 MB
[runlim] sample:		2126.3 time, 280.5 real, 4841.3 MB
[runlim] sample:		2205.5 time, 290.5 real, 4586.1 MB
[runlim] sample:		2284.8 time, 300.5 real, 4581.5 MB
