[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		P-can__445.mtx.rnd
[runlim] start:			Sat May 10 09:17:11 2025
[runlim] main pid:		544300
[runlim] sample:		10.8 time, 10.8 real, 567.4 MB
[runlim] sample:		59.0 time, 20.8 real, 3305.3 MB
[runlim] sample:		138.3 time, 30.8 real, 4003.4 MB
[runlim] sample:		216.7 time, 40.8 real, 4027.5 MB
[runlim] sample:		292.4 time, 50.8 real, 4043.6 MB
[runlim] sample:		371.6 time, 60.8 real, 4252.5 MB
[runlim] sample:		450.8 time, 70.8 real, 4320.8 MB
[runlim] sample:		530.0 time, 80.8 real, 4520.9 MB
[runlim] sample:		609.3 time, 90.8 real, 4553.6 MB
[runlim] sample:		688.6 time, 100.8 real, 4584.7 MB
[runlim] sample:		767.9 time, 110.8 real, 4637.7 MB
[runlim] sample:		847.1 time, 120.8 real, 4637.7 MB
[runlim] sample:		926.3 time, 130.8 real, 4652.1 MB
[runlim] sample:		1005.6 time, 140.8 real, 4736.7 MB
[runlim] sample:		1084.8 time, 150.8 real, 4826.5 MB
[runlim] sample:		1164.1 time, 160.8 real, 4832.2 MB
[runlim] sample:		1243.4 time, 170.8 real, 4925.8 MB
[runlim] sample:		1322.6 time, 180.8 real, 4937.3 MB
[runlim] sample:		1401.8 time, 190.8 real, 4942.7 MB
[runlim] sample:		1481.1 time, 200.8 real, 4959.5 MB
[runlim] sample:		1560.4 time, 210.8 real, 4974.4 MB
[runlim] sample:		1639.6 time, 220.8 real, 5026.2 MB
[runlim] sample:		1719.0 time, 230.8 real, 5026.4 MB
[runlim] sample:		1798.0 time, 240.8 real, 5026.6 MB
[runlim] sample:		1877.3 time, 250.8 real, 5178.4 MB
[runlim] sample:		1956.6 time, 260.8 real, 5027.1 MB
[runlim] sample:		2035.9 time, 270.8 real, 5027.4 MB
[runlim] sample:		2115.2 time, 280.8 real, 5030.2 MB
[runlim] sample:		2194.4 time, 290.8 real, 5081.6 MB
[runlim] sample:		2273.5 time, 300.8 real, 5037.2 MB
