[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		R-dwt__503.mtx.rnd
[runlim] start:			Sat May 10 09:52:29 2025
[runlim] main pid:		547176
[runlim] sample:		10.8 time, 10.8 real, 662.6 MB
[runlim] sample:		40.5 time, 20.8 real, 3628.0 MB
[runlim] sample:		119.7 time, 30.8 real, 5246.1 MB
[runlim] sample:		199.0 time, 40.8 real, 5490.6 MB
[runlim] sample:		278.1 time, 50.8 real, 5640.1 MB
[runlim] sample:		356.8 time, 60.9 real, 5682.2 MB
[runlim] sample:		435.7 time, 70.8 real, 5694.3 MB
[runlim] sample:		515.0 time, 80.8 real, 5553.7 MB
[runlim] sample:		594.2 time, 90.8 real, 5651.2 MB
[runlim] sample:		673.5 time, 100.8 real, 5672.8 MB
[runlim] sample:		752.7 time, 110.8 real, 5776.3 MB
[runlim] sample:		832.0 time, 120.8 real, 5877.7 MB
[runlim] sample:		911.3 time, 130.8 real, 5888.2 MB
[runlim] sample:		990.6 time, 140.8 real, 6039.0 MB
[runlim] sample:		1069.9 time, 150.8 real, 6152.2 MB
[runlim] sample:		1149.2 time, 160.8 real, 6068.5 MB
[runlim] sample:		1228.3 time, 170.8 real, 6119.7 MB
[runlim] sample:		1307.6 time, 180.8 real, 6163.8 MB
[runlim] sample:		1386.9 time, 190.8 real, 6176.4 MB
[runlim] sample:		1466.2 time, 200.8 real, 6134.7 MB
[runlim] sample:		1545.5 time, 210.8 real, 6278.4 MB
[runlim] sample:		1624.8 time, 220.8 real, 6371.5 MB
[runlim] sample:		1703.0 time, 230.8 real, 6506.1 MB
[runlim] sample:		1782.3 time, 240.8 real, 6886.0 MB
[runlim] sample:		1861.6 time, 250.8 real, 7025.4 MB
[runlim] sample:		1940.9 time, 260.8 real, 7044.0 MB
[runlim] sample:		2020.2 time, 270.8 real, 6613.7 MB
[runlim] sample:		2099.4 time, 280.8 real, 6989.2 MB
[runlim] sample:		2178.5 time, 290.8 real, 6820.5 MB
[runlim] sample:		2257.6 time, 300.8 real, 6820.5 MB
