[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		S-sherman4.mtx.rnd
[runlim] start:			Sat May 10 10:22:31 2025
[runlim] main pid:		549316
[runlim] sample:		10.8 time, 10.7 real, 592.6 MB
[runlim] sample:		28.4 time, 20.7 real, 3159.5 MB
[runlim] sample:		107.5 time, 30.7 real, 5231.6 MB
[runlim] sample:		186.5 time, 40.7 real, 5606.8 MB
[runlim] sample:		265.8 time, 50.7 real, 5721.6 MB
[runlim] sample:		345.0 time, 60.7 real, 5965.6 MB
[runlim] sample:		424.3 time, 70.7 real, 6089.2 MB
[runlim] sample:		503.5 time, 80.7 real, 6323.2 MB
[runlim] sample:		582.8 time, 90.7 real, 6447.7 MB
[runlim] sample:		661.9 time, 100.7 real, 6690.7 MB
[runlim] sample:		741.2 time, 110.7 real, 6792.2 MB
[runlim] sample:		820.4 time, 120.7 real, 7399.6 MB
[runlim] sample:		899.7 time, 130.7 real, 7407.0 MB
[runlim] sample:		978.9 time, 140.7 real, 7508.7 MB
[runlim] sample:		1058.2 time, 150.7 real, 7509.5 MB
[runlim] sample:		1137.3 time, 160.7 real, 7702.4 MB
[runlim] sample:		1216.6 time, 170.7 real, 7905.8 MB
[runlim] sample:		1295.8 time, 180.7 real, 8096.8 MB
[runlim] sample:		1375.1 time, 190.7 real, 8196.9 MB
[runlim] sample:		1454.3 time, 200.7 real, 8223.7 MB
[runlim] sample:		1533.6 time, 210.7 real, 8514.6 MB
[runlim] sample:		1612.7 time, 220.7 real, 8610.5 MB
[runlim] sample:		1692.0 time, 230.7 real, 8995.0 MB
[runlim] sample:		1771.2 time, 240.7 real, 9037.4 MB
[runlim] sample:		1850.5 time, 250.7 real, 8995.3 MB
[runlim] sample:		1929.7 time, 260.7 real, 9091.8 MB
[runlim] sample:		2008.9 time, 270.7 real, 9223.6 MB
[runlim] sample:		2088.0 time, 280.7 real, 9281.9 MB
[runlim] sample:		2167.1 time, 290.7 real, 9281.9 MB
[runlim] sample:		2246.1 time, 300.7 real, 9282.1 MB
