[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		T-dwt__592.mtx.rnd
[runlim] start:			Sat May 10 10:52:36 2025
[runlim] main pid:		551465
[runlim] sample:		10.8 time, 11.0 real, 668.5 MB
[runlim] sample:		20.8 time, 21.0 real, 762.6 MB
[runlim] sample:		82.2 time, 31.0 real, 5502.7 MB
[runlim] sample:		161.2 time, 41.0 real, 6686.9 MB
[runlim] sample:		240.4 time, 51.0 real, 6821.1 MB
[runlim] sample:		319.6 time, 61.0 real, 6887.7 MB
[runlim] sample:		398.7 time, 71.0 real, 6957.9 MB
[runlim] sample:		477.8 time, 81.0 real, 6922.9 MB
[runlim] sample:		557.1 time, 91.0 real, 7035.4 MB
[runlim] sample:		636.2 time, 101.0 real, 7082.5 MB
[runlim] sample:		715.5 time, 111.0 real, 7132.3 MB
[runlim] sample:		794.8 time, 121.0 real, 7207.5 MB
[runlim] sample:		874.1 time, 131.0 real, 7876.5 MB
[runlim] sample:		953.4 time, 141.0 real, 7561.5 MB
[runlim] sample:		1032.7 time, 151.0 real, 7565.1 MB
[runlim] sample:		1111.9 time, 161.0 real, 7589.9 MB
[runlim] sample:		1191.2 time, 171.0 real, 7710.0 MB
[runlim] sample:		1270.5 time, 181.0 real, 7601.0 MB
[runlim] sample:		1349.8 time, 191.0 real, 7602.3 MB
[runlim] sample:		1429.1 time, 201.0 real, 7607.1 MB
[runlim] sample:		1508.4 time, 211.0 real, 7613.9 MB
[runlim] sample:		1587.5 time, 221.0 real, 7614.7 MB
[runlim] sample:		1666.8 time, 231.0 real, 7645.4 MB
[runlim] sample:		1746.1 time, 241.0 real, 7668.9 MB
[runlim] sample:		1825.4 time, 251.0 real, 7677.9 MB
[runlim] sample:		1904.6 time, 261.0 real, 7687.8 MB
[runlim] sample:		1983.9 time, 271.0 real, 7687.9 MB
[runlim] sample:		2063.1 time, 281.0 real, 7692.1 MB
[runlim] sample:		2142.2 time, 291.0 real, 7697.2 MB
[runlim] sample:		2221.3 time, 301.0 real, 7699.3 MB
