[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		V-nos6.mtx.rnd
[runlim] start:			Sat May 10 11:28:07 2025
[runlim] main pid:		554314
[runlim] sample:		10.8 time, 10.0 real, 801.3 MB
[runlim] sample:		20.8 time, 20.0 real, 909.8 MB
[runlim] sample:		71.1 time, 30.0 real, 6522.9 MB
[runlim] sample:		150.2 time, 40.0 real, 7755.0 MB
[runlim] sample:		229.1 time, 50.0 real, 8342.0 MB
[runlim] sample:		308.4 time, 60.0 real, 8435.5 MB
[runlim] sample:		387.6 time, 70.0 real, 8645.3 MB
[runlim] sample:		466.9 time, 80.0 real, 8673.2 MB
[runlim] sample:		546.3 time, 90.0 real, 8992.8 MB
[runlim] sample:		625.1 time, 100.0 real, 9150.8 MB
[runlim] sample:		704.2 time, 110.0 real, 9302.2 MB
[runlim] sample:		783.5 time, 120.0 real, 9606.2 MB
[runlim] sample:		862.7 time, 130.0 real, 9807.4 MB
[runlim] sample:		942.0 time, 140.0 real, 10148.9 MB
[runlim] sample:		1021.3 time, 150.0 real, 10766.0 MB
[runlim] sample:		1100.4 time, 160.0 real, 11233.0 MB
[runlim] sample:		1178.9 time, 170.0 real, 11433.5 MB
[runlim] sample:		1258.2 time, 180.0 real, 11555.2 MB
[runlim] sample:		1337.4 time, 190.0 real, 11827.6 MB
[runlim] sample:		1416.7 time, 200.0 real, 11845.1 MB
[runlim] sample:		1496.0 time, 210.0 real, 11845.3 MB
[runlim] sample:		1575.3 time, 220.0 real, 11845.6 MB
[runlim] sample:		1654.4 time, 230.0 real, 11991.4 MB
[runlim] sample:		1733.7 time, 240.0 real, 12137.3 MB
[runlim] sample:		1812.9 time, 250.0 real, 12351.8 MB
[runlim] sample:		1892.2 time, 260.0 real, 12429.9 MB
[runlim] sample:		1971.5 time, 270.0 real, 12576.0 MB
[runlim] sample:		2050.8 time, 280.0 real, 12720.8 MB
[runlim] sample:		2130.1 time, 290.0 real, 12867.5 MB
[runlim] sample:		2209.4 time, 300.0 real, 13020.9 MB
