[runlim] version:		1.10
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		python3
[runlim] argv[1]:		cp-sat.py
[runlim] argv[2]:		X-can__715.mtx.rnd
[runlim] start:			Sat May 10 11:50:20 2025
[runlim] main pid:		555751
[runlim] sample:		10.8 time, 10.4 real, 939.4 MB
[runlim] sample:		20.8 time, 20.4 real, 1329.1 MB
[runlim] sample:		30.8 time, 30.4 real, 1026.1 MB
[runlim] sample:		102.2 time, 40.4 real, 7993.4 MB
[runlim] sample:		181.3 time, 50.4 real, 9847.8 MB
[runlim] sample:		260.5 time, 60.4 real, 9880.5 MB
[runlim] sample:		339.8 time, 70.4 real, 9939.8 MB
[runlim] sample:		419.0 time, 80.4 real, 10024.8 MB
[runlim] sample:		498.2 time, 90.4 real, 10042.8 MB
[runlim] sample:		577.3 time, 100.4 real, 10035.0 MB
[runlim] sample:		656.4 time, 110.4 real, 10164.2 MB
[runlim] sample:		735.5 time, 120.4 real, 10145.7 MB
[runlim] sample:		814.7 time, 130.4 real, 10320.5 MB
[runlim] sample:		894.0 time, 140.4 real, 10335.1 MB
[runlim] sample:		973.2 time, 150.4 real, 10602.3 MB
[runlim] sample:		1052.5 time, 160.4 real, 10610.0 MB
[runlim] sample:		1131.8 time, 170.4 real, 10602.3 MB
[runlim] sample:		1210.9 time, 180.4 real, 10631.0 MB
[runlim] sample:		1290.1 time, 190.4 real, 10640.9 MB
[runlim] sample:		1369.4 time, 200.4 real, 10722.8 MB
[runlim] sample:		1448.7 time, 210.4 real, 10660.8 MB
[runlim] sample:		1527.9 time, 220.4 real, 10738.8 MB
[runlim] sample:		1607.2 time, 230.4 real, 10762.4 MB
[runlim] sample:		1686.3 time, 240.4 real, 10768.1 MB
[runlim] sample:		1765.6 time, 250.4 real, 10704.1 MB
[runlim] sample:		1844.8 time, 260.4 real, 10705.1 MB
[runlim] sample:		1924.2 time, 270.4 real, 10771.2 MB
[runlim] sample:		2003.4 time, 280.4 real, 10771.2 MB
[runlim] sample:		2082.6 time, 290.4 real, 10771.5 MB
[runlim] sample:		2161.1 time, 300.4 real, 10774.3 MB
